PERFILES QUE SE REQUIEREN PARA LOS DIFERENTES PROGRAMAS DE LA FACULTAD DE INGENIERIAS E INFORMATICA – MODALIDAD PRESENCIAL PARA REPOSITORIO DE HOJAS DE VIDA - VIGENCIA 2026
PROFESORES OCASIONALES Y CATEDRA PROGRAMAS FII MODALIDAD PRESENCIAL EN PAMPLONA | PROFESORES OCASIONALES Y CATEDRA PROGRAMAS FII MODALIDAD PRESENCIAL EN PAMPLONA | PROFESORES OCASIONALES Y CATEDRA PROGRAMAS FII MODALIDAD PRESENCIAL EN PAMPLONA | PROFESORES OCASIONALES Y CATEDRA PROGRAMAS FII MODALIDAD PRESENCIAL EN PAMPLONA | PROFESORES OCASIONALES Y CATEDRA PROGRAMAS FII MODALIDAD PRESENCIAL EN PAMPLONA
CÓDIGO | TIPO DE VINCULACIÓN | PROGRAMA ACADEMICO | PERFIL PROFESIONAL ESPECÍFICO | POSIBLES CURSOS PARA ORIENTAR
FII-01 | OCASIONAL TIEMPO COMPLETO | TECNOLOGIA EN PROCESOS AGROINDUSTRIALES | INGENIERO DE ALIMENTOS/ INGENIERO AGROINDUSTRIAL/ INGENIERO DE PRODUCCION AGROINDUSTRIAL O AREAS AFINES | ORIENTAR LOS CURSOS DE INTRODUCCION A LA AGROINDUSTRIA - PROCESOS AGROALIMENTARIOS I - PROCESOS AGROALIMENTARIOS II
FII-02 | OCASIONAL TIEMPO COMPLETO | TECNOLOGIA EN PROCESOS AGROINDUSTRIALES | INGENIERO DE ALIMENTOS/ INGENIERO AGROINDUSTRIAL/ INGENIERO DE PRODUCCION AGROINDUSTRIAL O AREAS AFINES | ORIENTAR LOS CURSOS DE GESTION AGROINDUSTRIAL – PROYECTOS PRODUCTIVOS – MATERIAS PRIMAS Y POSCOSECHA.
FII-03 | OCASIONAL TIEMPO COMPLETO | TECNOLOGÍA EN GESTIÓN DE REDES Y SISTEMAS TELEINFORMÁTICOS | INGENIERO DE SISTEMAS | ORIENTAR LOS CURSOS DE LÓGICA COMPUTACIONAL - PROGRAMACIÓN ESTRUCTURADA - METODOLOGÍAS PARA EL DESARROLLO DE SOFWARE
FII-04 | OCASIONAL TIEMPO COMPLETO | TECNOLOGÍA EN GESTIÓN DE REDES Y SISTEMAS TELEINFORMÁTICOS | INGENIERO DE SISTEMAS | ORIENTAR LOS CURSOS DE PROGRAMACIÓN DE SISTEMAS DE INFORMACIÓN - PROGRAMACIÓN MÓVIL - OPTATIVA DE DESARROLLO DE SOFTWARE (TRATAMIENTO DE DATOS)
FII-05 | OCASIONAL TIEMPO COMPLETO | TECNOLOGÍA EN GESTIÓN DE REDES Y SISTEMAS TELEINFORMÁTICOS | INGENIERO DE TELECOMUNICACIONES | ORIENTAR LOS CURSOS DE ENRUTAMIENTO Y DIRECCIONAMIENTO - OPTATIVA DE GESTIÓN DE REDES (SEGURIDAD EN REDES)
FII-06 | OCASIONAL TIEMPO COMPLETO | TECNOLOGÍA EN GESTIÓN DE REDES Y SISTEMAS TELEINFORMÁTICOS | INGENIERO DE TELECOMUNICACIONES | ORIENTAR LOS CURSOS DE REDES DE COMUNICACIONES - REDES CABLEADAS - GESTION DE PROYECTOS DE TECNOLOGÍA
FII-07 | OCASIONAL TIEMPO COMPLETO | TODOS LOS PROGRAMAS ACADÉMICOS | LICENCIADO EN IDIOMAS O LENGUAS EXTRANJERAS O LENGUAS MODERNAS O AREAS AFINES | ORIENTAR LOS CURSOS DE INGLES I – INGLES II – INGLES III
FII-08 | OCASIONAL TIEMPO COMPLETO | TECNOLOGÍA EN PROTECCIÓN Y RECUPERACIÓN DE ECOSISTEMAS FORESTALES | INGENIERO FORESTAL O AGROFORESTAL O ÁREAS AFINES | ORIENTAR LOS CURSOS DE ECOLOGIA Y CLIMATOTOGIA – ECOLOGIA DE SISTEMAS FORESTALES – FORESTERIA Y SOSTENIBILIDAD – PROCESAMIENTO DE PRODUCTOS FORESTALES
FII-09 | OCASIONAL TIEMPO COMPLETO | TECNOLOGÍA EN PRODUCCIÓN AGROPECUARIA | MEDICO VETERINARIO O MEDICO VETERINARIO Y ZOTECNISTA (MVZ) | ORIENTAR LOS CURSOS DE ANATOMIA Y FISIOLOGIA ANIMAL - INSEMINACIÓN ARTIFICIAL- TRANSFERNCIA DE EMBRIONES
FII-10 | OCASIONAL TIEMPO COMPLETO | TECNOLOGÍA EN PRODUCCIÓN AGROPECUARIA | ZOOTECNISTA O MEDICO VETERINARIO Y ZOTECNISTA (MVZ) | ORIENTAR LOS CURSOS DE NUTRICION ANIMAL - SUPLEMENTACION ALIMENTARIA - ADMINISTRACION AGROPECUARIA – ICA – PRODUCIÓN PECUARIA I
FII-11 | OCASIONAL TIEMPO COMPLETO | TECNOLOGÍA EN PRODUCCIÓN AGROPECUARIA | AGRONOMO – INGENIERO AGRONOMO O AREAS AFINES | ORIENTAR LOS CURSOS DE RIEGOS Y DRENAJES - MAQUINARIA Y TOPOGRÁFIA- EXTENSIÓN RURAL Y POLITICA AGROPECUARIA
FII-12 | OCASIONAL TIEMPO COMPLETO | TECNICA PROFESIONAL EN PROCESOS DE LA SEGURIDAD Y SALUD EN EL TRABAJO | PROFESIONAL EN SEGURIDAD Y SALUD EN EL TRABAJO O PROFESIONAL EN TODAS LAS ÁREAS CON POSGRADO EN SEGURIDAD Y SALUD EN EL TRABAJO | ORIENTAR LOS CURSOS DE INTRODUCCIÓN A LA SST - CAPACITACIÓN Y ENTRENAMIENTO EN SST - FUNDAMENTOS DE ERGONOMÍA
FII-13 | OCASIONAL TIEMPO COMPLETO | TECNICA PROFESIONAL EN PROCESOS DE LA SEGURIDAD Y SALUD EN EL TRABAJO | PROFESIONAL EN SEGURIDAD Y SALUD EN EL TRABAJO O PROFESIONAL EN TODAS LAS ÁREAS CON POSGRADO EN SEGURIDAD Y SALUD EN EL TRABAJO | ORIENTAR LOS CURSOS DE CIENCIAS BÁSICAS ENFOCADAS A LA SST - GENERALIDADES DEL SISTEMA DE GESTIÓN EN SST, MEDICINA DEL TRABAJO - PRÁCTICA EN SST
FII-14 | OCASIONAL TIEMPO COMPLETO | TECNOLOGIA EN GESTION INDUSTRIAL | INGENIERO INDUSTRIAL | ORIENTAR LOS CURSOS DE ERGONOMÍA - GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO - GESTIÓN DEL TALENTO HUMANO - TRABAJOS DE GRADO
FII-15 | OCASIONAL TIEMPO COMPLETO | TECNOLOGIA EN GESTION INDUSTRIAL | INGENIERO INDUSTRIAL | ORIENTAR LOS CURSOS DE PROCESOS INDUSTRIALES - DISTRIBUCIÓN DE PLANTAS - OPTATIVA I - OPTATIVA II - FORMULACIÓN DE PROYECTOS - COSTOS Y PRESUPUESTOS - TRABAJOS DE GRADO
FII-16 | OCASIONAL TIEMPO COMPLETO | TECNOLOGIA EN CONSTRUCCIÓN DE OBRAS CIVILES | INGENIERO CIVIL | ORIENTAR LOS CURSOS DE COSTOS, PRESUPUESTO Y PROGRAMACIÓN DE OBRA – OPTATIVA DE PROFUNDIZACION MATERIALES Y EQUIPO – MATERIALES DE CONSTRUCCIÓN - TRABAJOS DE GRADO
FII-17 | OCASIONAL TIEMPO COMPLETO | TECNOLOGIA EN CONSTRUCCIÓN DE OBRAS CIVILES | INGENIERO CIVIL | ORIENTAR LOS CURSOS DE TRAZADO DE VIAS - OPTATIVA I (CIMENTACIONES Y OBRAS DE CONTENCIÓN - OPTATIVA II (CONTRATACION ESTATAL - TRABAJOS DE GRADO.
FII-18 | OCASIONAL TIEMPO COMPLETO | TECNOLOGIA EN CONSTRUCCIÓN DE OBRAS CIVILES | ARQUITECTO | ORIENTAR LOS CURSOS DE DIBUJO TECNICO DIGITAL –METODOLOGIA DE LA INVESTIGACION –TÉCNICA, TECNOLOGÍA Y CIENCIA - TRABAJOS DE GRADO.
FII-19 | CÁTEDRA | TODOS LOS PROGRAMAS | LICENCIADO EN MATEMATICAS / MATEMÁTICO O AREAS AFINES | ORIENTAR LOS CURSOS DE ALGEBRA Y TRIGONOMETRIA - MATEMATICAS - MATEMATICA APLICADA – CALCULOS
FII-20 | CÁTEDRA | TODOS LOS PROGRAMAS | LICENCIADO EN MATEMATICAS / MATEMÁTICO / ESTADISTICO O AREAS AFINES | ORIENTAR LOS CURSOS DE ESTADISTICA - BIOESTADISTICA – ESTADISTICA Y PROBABILIDADES.
FII-21 | CÁTEDRA | TODOS LOS PROGRAMAS | LICENCIADO EN FÍSICA / FISICO O AREAS AFINES | ORIENTAR LOS CURSOS DE FISICA - FISICA MECANICA – LABORATORIO DE FISICA MECANICA
FII-22 | CÁTEDRA | TECNOLOGIA EN PRODUCCION AGROPECUARIA - TECNOLOGÍA EN PROTECCIÓN Y RECUPERACIÓN DE ECOSISTEMA FORESTALES | LICENCIADO EN CIENCIAS NATURALES O LICENCIADOS EN BIOLOGIA O BIOLOGO O AREAS AFINES. | ORIENTAR LOS CURSOS DE BIOLOGIA GENERAL - BIOLOGIA APLICADA.
FII-23 | CÁTEDRA | TODOS LOS PROGRAMAS | QUIMICO - INGENIERO QUIMICO O AREAS AFINES | ORIENTAR LOS CURSOS DE QUIMICA – QUIMICA GENERAL - QUIMICA APLICADA - BIOQUIMICA APLICADA - FISICOQUIMICA AGROINDUSTRIAL – PROCESOS DE TRANSFORMACION FISICOQUIMICA.
FII-24 | CÁTEDRA | TECNOLOGIA EN PRODUCCION AGROPECUARIA | MICROBIOLOGO | ORIENTAR LOS CURSOS DE MICROBIOLOGIA - INOCUIDAD EN LOS PROCESOS AGROINDUSTRIALES
FII-25 | CÁTEDRA | TODOS LOS PROGRAMAS | LICENCIADO EN LENGUA CASTELLANA O COMUNICADOR SOCIAL O AREAS AFINES | ORIENTAR LOS CURSOS DE HABILIDADES COMUNICATIVAS - PRODUCCION Y COMPRENSION DE TEXTOS – COMPETENCIAS COMUNICATIVAS
FII-26 | CÁTEDRA | TODOS LOS PROGRAMAS | CONTADOR PUBLICO Y/O ADMINISTRADOR DE EMPRESAS Y/O ECONOMISTA O AREAS AFINES | ORIENTAR LOS CURSOS DE CONTABILIDAD - COSTOS Y PRESUPUESTO - CONTABILIDAD FINANCIERA - FUNDAMENTOS DE ADMINISTRACIÓN - ECOSISTEMA ECONÓMICO AGROINDUSTRIAL – ADMINISTRACIÓN GENERAL
FII-27 | CÁTEDRA | TODOS LOS PROGRAMAS | LICENCIADO EN IDIOMAS O LENGUAS EXTRANJERAS O LENGUAS MODERNAS O AREAS AFINES | ORIENTAR LOS CURSOS DE INGLES I – INGLES II – INGLES III - INGLES TECNICO I, II y III.
FII-28 | CÁTEDRA | TODOS LOS PROGRAMAS | PROFESIONAL EN   | CIENCIAS SOCIALES Y   | HUMANAS - TRABAJADOR SOCIAL -  | LICENCIADO EN DESARROLLO   | COMUNITARIO O AREAS AFINES | ORIENTAR LOS CURSOS DE SOCIEDAD Y RURALIDAD - CIUDADANIA Y CONVIVENCIA - ELECTIVAS DE SOCIOHUMANISTICA
FII-29 | CÁTEDRA | TODOS LOS PROGRAMAS | INGENIERO AMBIENTAL O AREAS AFINES | ORIENTAR LOS CURSOS DE AMBIENTAL - GESTION AMBIENTAL – SANEAMIENTO Y LEGISLACION AMBIENTAL
FII-30 | CÁTEDRA | TODOS LOS PROGRAMAS | PSICOLOGO – SOCIOLOGO O AREAS AFINES | ORIENTAR LOS CURSOS DE HABILIDADES INTRA E INTERPERSONALES
FII-31 | CÁTEDRA | TODOS LOS PROGRAMAS | ADMINISTRADOR DE EMPRESAS O AREAS AFINES | ORIENTAR LOS CURSOS DE FUNDAMENTOS DE ADMINISTRACION - TECNICAS Y ESTRATEGIAS DE INVESTIGACION – METODOLOGIA DE LA INVESTIGACION – TECNICA TECNOLOGIA Y CIENCIA
FII-32 | CÁTEDRA | TODOS LOS PROGRAMAS | ABOGADO | ORIENTAR LOS CURSOS DE LEGISLACION LABORAL.
